sku,title,source_url,filename,status
PKM-TWM-SBP-EN,Pokemon TCG: SV Twilight Masquerade Sleeved Booster Pack,https://www.tcgplayer.com/product/544170/pokemon-sv06-twilight-masquerade-twilight-masquerade-sleeved-booster-pack?page=1,,dl-failed
PKM-TWM-BB-EN,Pokemon TCG: SV Twilight Masquerade Booster Bundle,https://www.tcgplayer.com/product/543852/pokemon-sv06-twilight-masquerade-twilight-masquerade-booster-bundle?page=1,PKM-TWM-BB-EN.jpg,ok
PKM-TWM-BX-EN,Pokemon TCG: SV Twilight Masquerade Booster Box,https://www.tcgplayer.com/product/549491/pokemon-sv06-twilight-masquerade-twilight-masquerade-pokemon-center-elite-trainer-box-exclusive-case?page=1,PKM-TWM-BX-EN.jpg,ok
PKM-TWM-ETB-EN,Pokemon TCG: SV Twilight Masquerade Elite Trainer Box,https://www.tcgplayer.com/product/543845/pokemon-sv06-twilight-masquerade-twilight-masquerade-elite-trainer-box?page=1,PKM-TWM-ETB-EN.jpg,ok
PKM-TWM-PCETB-EN,Pokemon TCG: SV Twilight Masquerade Pokemon Center ETB,https://www.tcgplayer.com/product/543844/pokemon-sv06-twilight-masquerade-twilight-masquerade-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-TWM-PCETB-EN.jpg,ok
PKM-TWM-BNB-EN,Pokemon TCG: SV Twilight Masquerade Build and Battle Box,https://www.tcgplayer.com/product/544386/pokemon-sv06-twilight-masquerade-twilight-masquerade-build-and-battle-box?page=1,PKM-TWM-BNB-EN.jpg,ok
PKM-TWM-BL3-EN,Pokemon TCG: SV Twilight Masquerade 3-Pack Blister (Revavroom),https://www.tcgplayer.com/product/544171/pokemon-sv06-twilight-masquerade-twilight-masquerade-3-pack-blister-snorlax?page=1,PKM-TWM-BL3-EN.jpg,ok
PKM-TWM-BL3-EN-2,Pokemon TCG: SV Twilight Masquerade 3-Pack Blister (Snorlax),https://www.tcgplayer.com/product/544171/pokemon-sv06-twilight-masquerade-twilight-masquerade-3-pack-blister-snorlax?page=1,PKM-TWM-BL3-EN-2.jpg,ok
PKM-TWM-TIN-EN,Pokemon TCG: Paradox Clash Tin (Roaring Moon),https://www.tcgplayer.com/product/544241/pokemon-miscellaneous-cards-and-products-paradox-clash-tin-iron-leaves-ex?page=1,PKM-TWM-TIN-EN.jpg,ok
PKM-TWM-TIN-EN-2,Pokemon TCG: Paradox Clash Tin (Iron Treads),https://www.tcgplayer.com/product/562360/pokemon-miscellaneous-cards-and-products-paradox-destinies-tin-set-of-4?page=1,PKM-TWM-TIN-EN-2.jpg,ok
PKM-SFA-SBP-EN,Pokemon TCG: SV Shrouded Fable Sleeved Booster Pack,https://www.tcgplayer.com/product/553031/pokemon-sv-shrouded-fable-shrouded-fable-booster-bundle?page=1,PKM-SFA-SBP-EN.jpg,ok
PKM-SFA-BB-EN,Pokemon TCG: SV Shrouded Fable Booster Bundle,https://www.tcgplayer.com/product/553031/pokemon-sv-shrouded-fable-shrouded-fable-booster-bundle?page=1,PKM-SFA-BB-EN.jpg,ok
PKM-SFA-ETB-EN,Pokemon TCG: SV Shrouded Fable Elite Trainer Box,https://www.tcgplayer.com/product/552999/pokemon-sv-shrouded-fable-shrouded-fable-elite-trainer-box?page=1,PKM-SFA-ETB-EN.jpg,ok
PKM-SFA-PCETB-EN,Pokemon TCG: SV Shrouded Fable Pokemon Center ETB,https://www.tcgplayer.com/product/552998/pokemon-sv-shrouded-fable-shrouded-fable-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-SFA-PCETB-EN.jpg,ok
PKM-SCR-SBP-EN,Pokemon TCG: SV Stellar Crown Sleeved Booster Pack,https://www.tcgplayer.com/product/557352/pokemon-sv07-stellar-crown-stellar-crown-sleeved-booster-pack?page=1,PKM-SCR-SBP-EN.jpg,ok
PKM-SCR-BB-EN,Pokemon TCG: SV Stellar Crown Booster Bundle,https://www.tcgplayer.com/product/557345/pokemon-sv07-stellar-crown-stellar-crown-booster-bundle?page=1,PKM-SCR-BB-EN.jpg,ok
PKM-SCR-BX-EN,Pokemon TCG: SV Stellar Crown Booster Box,https://www.tcgplayer.com/product/559102/pokemon-sv07-stellar-crown-stellar-crown-elite-trainer-box-case?page=1,PKM-SCR-BX-EN.jpg,ok
PKM-SCR-ETB-EN,Pokemon TCG: SV Stellar Crown Elite Trainer Box,https://www.tcgplayer.com/product/557350/pokemon-sv07-stellar-crown-stellar-crown-elite-trainer-box?page=1,PKM-SCR-ETB-EN.jpg,ok
PKM-SCR-PCETB-EN,Pokemon TCG: SV Stellar Crown Pokemon Center ETB,https://www.tcgplayer.com/product/557340/pokemon-sv07-stellar-crown-stellar-crown-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-SCR-PCETB-EN.jpg,ok
PKM-SCR-BNB-EN,Pokemon TCG: SV Stellar Crown Build and Battle Box,https://www.tcgplayer.com/product/557330/pokemon-sv07-stellar-crown-stellar-crown-build-and-battle-box?page=1,PKM-SCR-BNB-EN.jpg,ok
PKM-SCR-BL3-EN,Pokemon TCG: SV Stellar Crown 3-Pack Blister (Hydreigon),https://www.tcgplayer.com/product/557337/pokemon-sv07-stellar-crown-stellar-crown-3-pack-blisters-tinkaton?page=1,PKM-SCR-BL3-EN.jpg,ok
PKM-SCR-BL3-EN-2,Pokemon TCG: SV Stellar Crown 3-Pack Blister (Terapagos),https://www.tcgplayer.com/product/557338/pokemon-sv07-stellar-crown-stellar-crown-single-pack-blister-horsea?page=1,PKM-SCR-BL3-EN-2.jpg,ok
PKM-SCR-SC-EN,Pokemon TCG: Dark Powers ex Special Collection,https://www.tcgplayer.com/product/558746/pokemon-miscellaneous-cards-and-products-dark-powers-ex-special-collection?page=1,PKM-SCR-SC-EN.jpg,ok
PKM-SCR-TIN-EN,Pokemon TCG: Paradox Destinies Tin (Walking Wake),https://www.tcgplayer.com/product/549433/pokemon-miscellaneous-cards-and-products-paradox-clash-tin-walking-wake-ex-international?page=1,PKM-SCR-TIN-EN.jpg,ok
PKM-SCR-TIN-EN-2,Pokemon TCG: Paradox Destinies Tin (Iron Crown),https://www.tcgplayer.com/product/562360/pokemon-miscellaneous-cards-and-products-paradox-destinies-tin-set-of-4?page=1,PKM-SCR-TIN-EN-2.jpg,ok
PKM-SCR-TIN-EN-3,Pokemon TCG: Paradox Destinies Tin (Gouging Fire),https://www.tcgplayer.com/product/562360/pokemon-miscellaneous-cards-and-products-paradox-destinies-tin-set-of-4?page=1,PKM-SCR-TIN-EN-3.jpg,ok
PKM-SCR-TIN-EN-4,Pokemon TCG: Paradox Destinies Tin (Iron Boulder),https://www.tcgplayer.com/product/562360/pokemon-miscellaneous-cards-and-products-paradox-destinies-tin-set-of-4?page=1,PKM-SCR-TIN-EN-4.jpg,ok
PKM-SSP-SBP-EN,Pokemon TCG: SV Surging Sparks Sleeved Booster Pack,https://www.tcgplayer.com/product/565602/pokemon-sv08-surging-sparks-surging-sparks-sleeved-booster-pack?page=1,PKM-SSP-SBP-EN.jpg,ok
PKM-SSP-BB-EN,Pokemon TCG: SV Surging Sparks Booster Bundle,https://www.tcgplayer.com/product/594269/pokemon-sv08-surging-sparks-surging-sparks-booster-bundle-case-lgs?page=1,PKM-SSP-BB-EN.jpg,ok
PKM-SSP-BX-EN,Pokemon TCG: SV Surging Sparks Booster Box,https://www.tcgplayer.com/product/565606/pokemon-sv08-surging-sparks-surging-sparks-booster-box?page=1,PKM-SSP-BX-EN.jpg,ok
